Type of dwelling,房型,
HOUSE,House/Single Family,独立屋
HACR,House with Acreage,独立屋
TWNHS,Townhouse,联排别墅
APTU,Apartment/Condo,公寓
DUPXH,1/2 Duplex,叠拼屋
DUPLX,Duplex,叠拼屋
3PLEX,Triplex,叠拼屋
4PLEX,Fourplex,叠拼屋
MANUF,Manufactured,Manufactured
MNFLD,Manufactured with Land,Manufactured with Land
RECRE,Recreational,度假屋
OTHER,Other,其它房型
Style of Home,Style of Home,
BSMNT,Basement Entry,地下室进入
SPLIT,Split Entry,分层进入
1ST,1 Storey,一层
1ST+,1 1/2 Storey,一层半
2ST,2 Storey,两层
2BSMT,2 Storey w/Bsmt.,两层带地下室
3ST,3 Storey,三层单位
RANBG,Rancher/Bungalow,一层洋房
RBBMT,Rancher/Bungalow w/Bsmt.,一层洋房
RBLFT,Rancher/Bungalow w/Loft,一层洋房
3LEV,3 Level Split,3层分离式单位
4LEV,4 Level Split,4层分离式单位
5LEV,5 Plus Level,五层单位
CARRI,Carriage/Coach House,后巷屋
FLOAT,Floating Home,船屋
MANUF,Manufactured/Mobile,移动单位
CORNU,Corner Unit,Corner Unit
EUNIT,End Unit,End Unit
GUNIT,Ground Level Unit,底层单位
IUNIT,Inside Unit,中间单位
UUNIT,Upper Unit,高层单位
LWST,Live/Work Studio,工作室
LFTWC,Loft/Warehouse Conv.,Loft
OTHER,Other,其它
PENT,Penthouse,空中花园
Title to land,产权,
FHNST,Freehold NonStrata,永久产权；非共管物业
FHST,Freehold Strata,永久产权；共管物业
LPNS,Leasehold prepaid-NonStrata,租赁产权（已预付）；非共管物业
LNPNS,Leasehold not prepaid-NonStrata,租赁产权（未付）；非共管物业
LPS,Leasehold prepaid-Strata,租赁产权（已预付）；共管物业
LNPS,Leasehold not prepaid-Strata,租赁产权（未付）；共管物业
SHCOP,Shares in Co-operative,Coop
TSHAR,Time Share,Time Share
UNINT,Undivided Interest,Undivided Interest
VACOW,Vacation Ownership,Vacation Ownership
By law restricion,物业规章,
AGER,Age Restrictions,年龄限制
NO,No Restrictions,没有限制
PETN,Pets Not Allowed,禁止宠物
PETY,Pets Allowed,允许宠物
PETR,Pets Allowed w/Rest.,允许宠物（有条件限制）
RENN,Rentals Not Allowed,禁止出租
RENY,Rentals Allowed,允许出租
RENR,Rentals Allowed w/Restrictions,允许出租（有条件限制）
Features Included,特色设施,
AIRCO,Air Conditioning,中央空调
DRYER,Clothes Dryer,干衣机
WSHR,Clothes Washer,洗衣机
WHDR,Clothes Washer/Dryer,洗衣机/干衣机
WDFSD,Clothes Washer/Dryer/Fridge/Stove/DW,洗衣机/干衣机/冰箱/炉台/洗碗机
COMPA,Compactor - Garbage,垃圾压缩设备
